Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
71R_CS_1	9.84139e-01	15271944	246137	10361830	3169457	1740657	5465033	591867	575577	79093	3624301	1840732	2.85160e+01	4.33714e+01	7.33851e+01	3.06868e+01	4910114	1.96895e+00	1.82084e+00	1.02830e+00
79Z_CP_1	9.84411e-01	15276175	241906	10298783	3246376	1731016	5513306	600071	576636	36529	3648014	1865292	3.15405e+01	4.56114e+01	7.82886e+01	3.06848e+01	4977392	1.95573e+00	1.87542e+00	1.04064e+00
218DG_NC_1	9.86067e-01	15301872	216209	10329359	3213774	1758739	5516744	612055	584086	94130	3649025	1867719	3.27666e+01	4.44559e+01	7.99673e+01	3.04440e+01	4972513	1.95373e+00	1.82732e+00	1.04789e+00
143BN_BB_1	9.84072e-01	15270905	247176	10402167	3064132	1804606	5486693	589992	577627	26221	3636728	1849965	2.99067e+01	4.43465e+01	7.52659e+01	3.10040e+01	4868738	1.96584e+00	1.69795e+00	1.02141e+00
297EW_BP_1	9.81414e-01	15229656	288425	10357460	3125902	1746294	5469498	571540	559148	27619	3624050	1845448	2.83573e+01	4.16157e+01	7.33188e+01	3.08721e+01	4872196	1.96378e+00	1.79002e+00	1.02216e+00
250DV_LR_1	9.89342e-01	15352682	165399	10424009	3128896	1799777	5408873	656907	642652	134328	3589257	1819616	3.34291e+01	4.40196e+01	8.23176e+01	2.65663e+01	4928673	1.97254e+00	1.73849e+00	1.02218e+00
373T_HG_1	9.89377e-01	15353232	164849	10359929	3246857	1746446	5420977	655584	643307	104114	3599053	1821924	2.88755e+01	4.21738e+01	7.68138e+01	2.65431e+01	4993303	1.97541e+00	1.85912e+00	1.01908e+00
59R_AM_1	9.78842e-01	15189745	328336	10393027	3053317	1743401	5445353	537477	539204	16777	3614368	1830985	2.81921e+01	4.31801e+01	7.27407e+01	3.12050e+01	4796718	1.97400e+00	1.75136e+00	9.96797e-01
167BZ_SP_1	9.79829e-01	15205069	313012	10457038	2982380	1765651	5412854	540821	542424	19902	3591384	1821470	2.49200e+01	4.24324e+01	6.63818e+01	3.06949e+01	4748031	1.97170e+00	1.68911e+00	9.97045e-01
251DW_SD_DNA	9.80987e-01	15223041	295040	10409238	3036804	1776999	5445477	564460	562713	131296	3606567	1838910	2.76388e+01	4.26593e+01	7.12954e+01	3.10518e+01	4813803	1.96125e+00	1.70895e+00	1.00310e+00
298EW_MP_1	9.82862e-01	15252128	265953	10366492	3114692	1770944	5497672	575772	564994	88291	3640738	1856934	3.14144e+01	4.75378e+01	7.72754e+01	3.13514e+01	4885636	1.96062e+00	1.75877e+00	1.01908e+00
219DG_GC_1	9.84236e-01	15273455	244626	10419416	3073982	1780057	5458092	588015	569256	83218	3612536	1845556	3.14678e+01	4.49659e+01	7.75616e+01	3.11947e+01	4854039	1.95742e+00	1.72690e+00	1.03295e+00
145BN_JyB_1	9.82197e-01	15241818	276263	10439171	3036219	1766428	5445106	553863	551892	71585	3612830	1832276	2.97761e+01	4.52937e+01	7.45347e+01	3.14125e+01	4802647	1.97177e+00	1.71885e+00	1.00357e+00
306FA_LV_1	9.88450e-01	15338850	179231	10405187	2912217	2021446	5596466	675499	662824	317743	3716928	1879538	3.08420e+01	4.48641e+01	7.89738e+01	2.67596e+01	4933663	1.97758e+00	1.44066e+00	1.01912e+00
255EA_GC_DNA	9.77829e-01	15174026	344055	10465211	2931612	1777203	5424219	519050	525561	117961	3602957	1821262	2.71482e+01	4.45058e+01	7.01314e+01	3.15697e+01	4708815	1.97827e+00	1.64957e+00	9.87611e-01
375T_TRI_1	9.91339e-01	15383677	134404	10357773	3260109	1765795	5447548	671237	653026	110080	3613212	1834336	4.16760e+01	5.03830e+01	8.96778e+01	2.34235e+01	5025904	1.96977e+00	1.84626e+00	1.02789e+00
179CI_GG_1	9.83259e-01	15258286	259795	10422984	3031839	1803463	5466745	580055	573200	21389	3624873	1841872	2.86366e+01	4.40251e+01	7.32775e+01	3.07180e+01	4835302	1.96804e+00	1.68112e+00	1.01196e+00
286CI_RG_1	9.82554e-01	15247347	270734	10405644	3030981	1810722	5480859	583841	569077	77957	3630925	1849934	2.88025e+01	4.50646e+01	7.38207e+01	3.10735e+01	4841703	1.96273e+00	1.67391e+00	1.02594e+00
258Z_GaP_1	9.85060e-01	15286245	231836	10306671	3249498	1730076	5524891	588851	577065	70928	3660015	1864876	3.24655e+01	4.53230e+01	7.92754e+01	3.07445e+01	4979574	1.96261e+00	1.87824e+00	1.02042e+00
252DX_DC_1	9.90995e-01	15378342	139739	10355392	3249952	1772998	5463133	666671	646688	151219	3628062	1835071	4.14228e+01	4.91825e+01	8.94285e+01	2.38693e+01	5022950	1.97707e+00	1.83303e+00	1.03090e+00
168BZ_NP_1	9.79722e-01	15203413	314668	10446894	3015326	1741193	5410111	532923	536835	70254	3592187	1817924	2.88738e+01	4.29377e+01	7.38699e+01	3.11985e+01	4756519	1.97598e+00	1.73176e+00	9.92713e-01
169BZ_RP_1	9.82111e-01	15240483	277598	10429539	3012906	1798038	5474095	560803	555704	78230	3626815	1847280	2.92959e+01	4.46513e+01	7.41419e+01	3.13207e+01	4810944	1.96333e+00	1.67566e+00	1.00918e+00
260Z_AG_1	9.82147e-01	15241042	277039	10331315	3188452	1721275	5495375	560405	556806	24384	3642881	1852494	3.11853e+01	4.49534e+01	7.74936e+01	3.10864e+01	4909727	1.96647e+00	1.85238e+00	1.00646e+00
285CI_MG_1	9.81385e-01	15229215	288866	10436140	3023451	1769624	5437954	553815	552858	73581	3609100	1828854	2.84785e+01	3.48219e+01	7.36867e+01	3.11085e+01	4793075	1.97342e+00	1.70853e+00	1.00173e+00
72R_DS_1	9.84717e-01	15280912	237169	10424262	3076555	1780095	5456763	583828	576984	75467	3616853	1839910	3.17707e+01	4.46863e+01	7.79598e+01	3.06790e+01	4856650	1.96578e+00	1.72831e+00	1.01186e+00
253DY_HA_DNA	9.86012e-01	15301007	217074	10292133	3223619	1785255	5571261	609082	594752	226383	3690800	1880461	3.44576e+01	4.82982e+01	8.11747e+01	3.03082e+01	5008874	1.96271e+00	1.80569e+00	1.02409e+00
62R_CaM_1	9.83313e-01	15259130	258951	10375611	3134212	1749307	5485487	566720	562098	21913	3636813	1848674	3.29537e+01	4.66854e+01	7.94780e+01	3.10224e+01	4883519	1.96725e+00	1.79169e+00	1.00822e+00
217DG_AC_1	9.84563e-01	15278525	239556	10414146	3113129	1751250	5446156	580951	570088	22926	3610189	1835967	3.01864e+01	4.37472e+01	7.60005e+01	3.07274e+01	4864379	1.96637e+00	1.77766e+00	1.01905e+00
377HQ_LN_1	9.90072e-01	15364025	154056	10388096	3163802	1812127	5453391	664789	650168	147456	3617870	1835521	3.48053e+01	4.73146e+01	8.44582e+01	2.57389e+01	4975929	1.97103e+00	1.74591e+00	1.02249e+00
144BN_JB_1	9.81057e-01	15224115	293966	10409917	3052047	1762151	5441858	559692	556320	71878	3613588	1828270	2.58936e+01	4.21854e+01	6.89515e+01	3.03349e+01	4814198	1.97651e+00	1.73200e+00	1.00606e+00
149BP_AB_1	9.89143e-01	15349597	168484	10214457	3375521	1759619	5559044	665523	650793	251173	3691857	1867187	2.96559e+01	4.25252e+01	7.77720e+01	2.66386e+01	5135140	1.97723e+00	1.91832e+00	1.02263e+00
299EW_SP_1	9.83669e-01	15264656	253425	10377631	3149396	1737629	5467643	571259	567301	79297	3624840	1842803	3.13597e+01	4.41619e+01	7.75599e+01	3.08897e+01	4887025	1.96703e+00	1.81247e+00	1.00698e+00
259Z_AP_1	9.76865e-01	15159064	359017	10413365	2990700	1754999	5446779	514517	522291	49536	3619222	1827557	2.72623e+01	4.32057e+01	7.04822e+01	3.17174e+01	4745699	1.98036e+00	1.70410e+00	9.85116e-01
60R_GM_1	9.82806e-01	15251268	266813	10396120	3065910	1789238	5489329	572588	564012	77477	3634860	1854469	3.19985e+01	4.78285e+01	7.79629e+01	3.13542e+01	4855148	1.96005e+00	1.71353e+00	1.01521e+00
